## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
11001,Man Cotton Yoga Pant,Man,"Discover ultimate comfort with our men's yoga pants Ð flexible, breathable, and ready for your practice.",https://placehold.co/300x200?text=Yoga%20Pant,109,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11002,Man Stretchy Yoga Pant,Man,Achieve the perfect balance of style and functionality with our men's yoga pants collection.,https://placehold.co/300x200?text=Yoga%20Pant,99,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11003,Man Performance Yoga Pant,Man,"Elevate your yoga game in our moisture-wicking, stretchy yoga pants for men.",https://placehold.co/300x200?text=Yoga%20Pant,74.89,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11004,Man Yoga Short,Man,Unleash your inner zen in our comfortable and versatile men's yoga pants.,https://placehold.co/300x200?text=Yoga%20Pant,80,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11005,Man Dry Yoga Short,Man,Stay cool and composed during your practice with our breathable men's yoga pants.,https://placehold.co/300x200?text=Yoga%20Pant,70,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11006,Man Legging Yoga Pant,Man,"From the studio to the street, our men's yoga pants provide comfort and style.",https://placehold.co/300x200?text=Yoga%20Pant,109,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11007,Man Short Legging Yoga Pant,Man,Meet your new workout companion Ð our men's yoga pants are designed for peak performance.,https://placehold.co/300x200?text=Yoga%20Pant,120,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11008,Man Comfy Daily Pant,Man,"Yoga or leisure, our men's pants offer flexibility and fashion in one package.",https://placehold.co/300x200?text=Yoga%20Pant,110,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11009,Man Ankle Daily Pant,Man,Experience the perfect fit and fashion with our range of men's yoga pants.,https://placehold.co/300x200?text=Yoga%20Pant,115,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
11010,Man Wool Yoga Pant,Man,Our men's yoga pants: the essential gear for those who demand comfort and style.,https://placehold.co/300x200?text=Yoga%20Pant,89,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22001,Woman Cotton Yoga Pant,Woman,Elevate your practice in our women's yoga pants - the perfect blend of comfort and flexibility.,https://placehold.co/300x200?text=Yoga%20Pant,120,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22002,Woman Stretchy Yoga Pant,Woman,"Unleash your inner yogi with our moisture-wicking, stretchy yoga pants for women.",https://placehold.co/300x200?text=Yoga%20Pant,128.9,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22003,Woman Performance Yoga Pant,Woman,Discover the harmony of fashion and functionality with our women's yoga pants collection.,https://placehold.co/300x200?text=Yoga%20Pant,130,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22004,Woman Yoga Short,Woman,Stay cool and comfortable during your yoga sessions in our breathable women's yoga pants.,https://placehold.co/300x200?text=Yoga%20Pant,115,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22005,Woman Dry Yoga Short,Woman,"From the studio to the streets, our women's yoga pants are your stylish and versatile companion.",https://placehold.co/300x200?text=Yoga%20Pant,115,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22006,Woman Legging Yoga Pant,Woman,Meet your new workout ally - our women's yoga pants are designed for peak performance.,https://placehold.co/300x200?text=Yoga%20Pant,168,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22007,Woman Short Legging Yoga Pant,Woman,"Whether it's for yoga or leisure, our women's pants offer the perfect balance of flexibility and style.",https://placehold.co/300x200?text=Yoga%20Pant,99,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22008,Woman Comfy Daily Pant,Woman,Experience the ideal fit and fashion with our wide range of women's yoga pants.,https://placehold.co/300x200?text=Yoga%20Pant,89.9,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22009,Woman Ankle Daily Pant,Woman,Our women's yoga pants are a must-have for those who demand both comfort and sophistication.,https://placehold.co/300x200?text=Yoga%20Pant,110,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,
22010,Woman Wool Yoga Pant,Woman,Elevate your activewear collection with our women's yoga pants - a perfect union of comfort and style.,https://placehold.co/300x200?text=Yoga%20Pant,105,https://5amfung.github.io/adobe-target/target/product.html,,,,,,,,,,,,,